,a-str,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
benchmark_0342,,,,,,,,,12.09,11.43,0.25,727948,0.10,0.05,0.02,31380,
benchmark_0182,,,,,,,,,16.97,16.24,0.25,711968,0.10,0.06,0.02,31400,
benchmark_0083,,,,,,,,,11.91,11.29,0.22,720288,0.10,0.05,0.02,31340,
benchmark_0065,,,,,,,,,8.19,7.62,0.23,682644,0.09,0.05,0.02,31340,
benchmark_0061,,,,,,,,,12.60,11.94,0.24,712844,0.09,0.06,0.01,31364,
benchmark_0225,,,,,,,,,18.84,18.35,0.25,702496,0.09,0.05,0.02,31304,
benchmark_0209,,,,,,,,,12.25,11.63,0.24,713000,0.09,0.05,0.02,31336,
benchmark_0340,,,,,,,,,12.11,11.49,0.25,715608,0.09,0.06,0.01,31408,
benchmark_0312,,,,,,,,,12.38,11.68,0.25,714464,0.09,0.05,0.02,31388,
benchmark_0444,,,,,,,,,12.27,11.69,0.23,697776,0.09,0.06,0.01,31312,
benchmark_0376,,,,,,,,,11.77,11.37,0.24,708292,0.09,0.05,0.02,31332,
benchmark_0140,,,,,,,,,12.38,11.76,0.25,732060,0.08,0.05,0.02,31476,
benchmark_0041,,,,,,,,,20.69,19.86,0.29,732568,0.09,0.05,0.02,31368,
benchmark_0242,,,,,,,,,16.15,15.28,0.29,715196,0.08,0.05,0.01,31388,
benchmark_0221,,,,,,,,,11.90,11.49,0.22,703552,0.10,0.05,0.02,31420,
benchmark_0379,,,,,,,,,12.93,11.69,0.26,737496,0.10,0.06,0.02,31388,
benchmark_0356,,,,,,,,,12.55,11.72,0.23,715416,0.09,0.05,0.02,31364,
benchmark_0434,,,,,,,,,7.94,7.28,0.24,680524,0.08,0.05,0.02,31348,
benchmark_0411,,,,,,,,,12.48,11.61,0.28,728672,0.09,0.06,0.01,31300,
benchmark_0110,,,,,,,,,12.74,12.50,0.20,716416,0.09,0.06,0.02,31336,
benchmark_0277,,,,,,,,,12.49,11.40,0.21,716192,0.09,0.06,0.02,31500,
benchmark_0301,,,,,,,,,11.87,11.24,0.24,704760,0.10,0.06,0.01,31304,
benchmark_0291,,,,,,,,,12.50,11.74,0.22,714272,0.08,0.05,0.02,31272,
benchmark_0446,,,,,,,,,12.22,11.47,0.24,716252,0.10,0.06,0.02,31348,
benchmark_0281,,,,,,,,,12.26,11.54,0.28,717964,0.09,0.06,0.02,31392,
benchmark_0425,,,,,,,,,12.16,11.54,0.24,707204,0.08,0.05,0.02,31340,
benchmark_0443,,,,,,,,,12.37,11.66,0.23,727736,0.10,0.06,0.01,31420,
benchmark_0481,,,,,,,,,12.70,12.01,0.23,718088,0.08,0.06,0.01,31404,
benchmark_0269,,,,,,,,,13.00,12.03,0.25,709820,0.09,0.06,0.02,31336,
benchmark_0132,,,,,,,,,12.87,12.14,0.24,708024,0.10,0.05,0.02,31392,
benchmark_0478,,,,,,,,,21.74,21.04,0.26,717676,0.09,0.05,0.02,31412,
benchmark_0173,,,,,,,,,12.92,12.13,0.30,735840,0.10,0.05,0.02,31380,
benchmark_0023,,,,,,,,,13.27,12.38,0.27,715856,0.09,0.06,0.01,31504,
benchmark_0147,,,,,,,,,8.41,7.66,0.25,679348,0.09,0.05,0.02,31348,
benchmark_0237,,,,,,,,,12.64,11.88,0.23,706332,0.08,0.06,0.01,31392,
benchmark_0414,,,,,,,,,13.56,12.73,0.27,715472,0.09,0.05,0.02,31288,
benchmark_0405,,,,,,,,,12.44,11.60,0.25,708484,0.09,0.06,0.02,31336,
benchmark_0279,,,,,,,,,12.92,12.05,0.25,713244,0.09,0.05,0.02,31372,
benchmark_0338,,,,,,,,,13.17,11.67,0.24,724752,0.09,0.06,0.01,31420,
benchmark_0231,,,,,,,,,12.19,11.48,0.23,707716,0.09,0.06,0.02,31444,
benchmark_0418,,,,,,,,,12.50,11.61,0.26,705548,0.08,0.06,0.02,31360,
benchmark_0127,,,,,,,,,,,,,0.08,0.05,0.02,31424,
benchmark_0144,,,,,,,,,21.59,20.37,0.28,718152,0.08,0.04,0.02,31404,
benchmark_0324,,,,,,,,,12.76,11.66,0.25,709048,0.08,0.06,0.01,31416,
benchmark_0078,,,,,,,,,12.81,11.79,0.24,716764,0.08,0.05,0.01,31344,
benchmark_0357,,,,,,,,,12.11,11.68,0.24,713928,0.08,0.05,0.02,31336,
benchmark_0045,,,,,,,,,12.63,11.79,0.22,707364,0.08,0.05,0.01,31372,
benchmark_0105,,,,,,,,,9.32,8.27,0.23,684296,0.09,0.05,0.02,31352,
benchmark_0234,,,,,,,,,12.65,11.62,0.26,707208,0.10,0.06,0.01,31376,
benchmark_0329,,,,,,,,,18.47,17.45,0.30,710836,0.08,0.05,0.02,31448,
benchmark_0100,,,,,,,,,12.14,11.72,0.22,709372,0.09,0.05,0.02,31420,
benchmark_0007,,,,,,,,,12.80,11.70,0.23,713108,0.09,0.06,0.02,31376,
benchmark_0348,,,,,,,,,12.98,11.71,0.24,722080,0.09,0.05,0.02,31372,
benchmark_0427,,,,,,,,,12.24,11.58,0.25,698260,0.08,0.06,0.01,31368,
benchmark_0202,,,,,,,,,12.72,11.92,0.27,707272,0.09,0.05,0.02,31304,
benchmark_0148,,,,,,,,,11.96,11.55,0.24,711596,0.10,0.05,0.02,31348,
benchmark_0394,,,,,,,,,17.04,16.56,0.26,693668,0.08,0.06,0.02,31344,
benchmark_0303,,,,,,,,,17.74,16.98,0.33,719948,0.09,0.06,0.02,31480,
benchmark_0458,,,,,,,,,12.08,11.62,0.24,711656,0.07,0.05,0.01,31312,
benchmark_0276,,,,,,,,,12.33,11.86,0.24,706480,0.10,0.06,0.02,31384,
benchmark_0308,,,,,,,,,12.16,11.49,0.24,717544,0.10,0.06,0.01,31356,
benchmark_0295,,,,,,,,,16.97,16.47,0.26,711360,0.11,0.06,0.02,31344,
benchmark_0352,,,,,,,,,12.73,12.23,0.26,717024,0.10,0.06,0.02,31484,
benchmark_0119,,,,,,,,,12.49,11.83,0.26,703664,0.09,0.06,0.02,31252,
benchmark_0211,,,,,,,,,11.69,11.24,0.25,701940,0.09,0.05,0.02,31356,
benchmark_0438,,,,,,,,,11.40,11.13,0.23,712328,0.07,0.05,0.01,31408,
benchmark_0026,,,,,,,,,12.52,11.82,0.25,717752,0.08,0.05,0.02,31284,
benchmark_0210,,,,,,,,,12.27,11.54,0.25,704072,0.08,0.05,0.01,31392,
benchmark_0266,,,,,,,,,12.35,11.88,0.27,725628,0.10,0.06,0.02,31364,
benchmark_0339,,,,,,,,,12.31,11.63,0.26,723024,0.09,0.06,0.01,31292,
benchmark_0077,,,,,,,,,11.92,11.52,0.23,706028,0.08,0.06,0.02,31480,
benchmark_0476,,,,,,,,,12.03,11.59,0.24,717788,0.09,0.06,0.01,31416,
benchmark_0130,,,,,,,,,11.51,11.20,0.26,719424,0.10,0.06,0.02,31300,
benchmark_0433,,,,,,,,,12.23,11.61,0.25,719200,0.08,0.06,0.01,31308,
benchmark_0241,,,,,,,,,13.30,12.02,0.23,724104,0.09,0.05,0.02,31424,
