,a-str,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
01_track_69,,,,,0.04,0.03,0.00,8784,9.25,8.96,0.26,718556,0.07,0.05,0.01,29912,
01_track_7,1.23,1.16,0.05,132356,0.04,0.02,0.00,7920,6.23,5.93,0.28,695776,0.06,0.03,0.01,27984,
01_track_70,,,,,0.04,0.02,0.00,7880,105.08,103.98,0.83,1170824,0.06,0.04,0.01,27724,
01_track_71,,,,,0.06,0.03,0.01,8928,2.41,2.25,0.14,241400,0.06,0.04,0.01,28228,
01_track_72,,,,,0.04,0.02,0.00,8024,8.91,8.61,0.26,711380,0.06,0.04,0.01,28124,
01_track_73,,,,,0.03,0.02,0.00,7284,11.56,11.17,0.34,708784,0.05,0.03,0.01,24472,
01_track_74,1.61,1.53,0.07,173664,0.03,0.02,0.00,7860,6.44,6.08,0.33,699092,0.06,0.04,0.01,27956,
01_track_75,19.02,18.75,0.20,653636,0.04,0.01,0.00,7284,3.78,3.62,0.13,278744,0.05,0.03,0.01,24456,
01_track_76,0.60,0.56,0.03,66208,0.04,0.01,0.00,7488,4.71,4.52,0.16,281820,0.05,0.03,0.01,24468,
01_track_77,,,,,0.05,0.03,0.00,8720,4.60,4.45,0.13,279912,0.13,0.08,0.03,36740,
01_track_78,0.67,0.63,0.03,72064,0.02,0.01,0.01,7296,1.71,1.59,0.09,209184,0.05,0.03,0.01,24464,
01_track_79,3.90,3.72,0.15,455984,0.03,0.01,0.00,7516,10.60,10.30,0.26,712316,0.05,0.03,0.01,24476,
01_track_8,6.20,6.02,0.16,497432,0.04,0.02,0.00,7968,3.28,3.10,0.15,253296,0.06,0.04,0.01,27504,
01_track_80,0.58,0.54,0.04,66196,0.04,0.02,0.00,7888,7.30,7.06,0.21,593596,0.06,0.04,0.02,27588,
01_track_81,1.74,1.65,0.08,205940,0.04,0.01,0.01,7772,9.82,9.48,0.30,717252,0.06,0.04,0.01,27796,
01_track_82,,,,,,,,,3.83,3.69,0.12,274188,0.06,0.04,0.01,28088,
01_track_83,0.58,0.52,0.04,58624,0.04,0.01,0.00,7280,1.70,1.59,0.10,212732,0.05,0.03,0.01,24452,
01_track_84,0.95,0.88,0.05,95988,0.04,0.01,0.00,7844,3.11,2.97,0.12,263344,0.06,0.04,0.01,27752,
01_track_85,5.49,5.33,0.13,424476,0.03,0.02,0.00,7484,9.80,9.44,0.31,717364,0.05,0.03,0.01,24468,
01_track_86,0.75,0.69,0.04,80684,0.05,0.01,0.00,7512,28.42,27.87,0.48,748972,0.05,0.04,0.01,24464,
01_track_87,,,,,0.04,0.01,0.01,8028,4.21,4.07,0.12,290440,0.06,0.04,0.01,28044,
01_track_88,11.77,11.54,0.13,465132,0.10,0.02,0.00,7948,4.10,3.92,0.16,358932,0.06,0.04,0.01,27916,
01_track_89,0.52,0.47,0.04,69400,0.03,0.01,0.01,7292,1.77,1.66,0.10,210824,0.05,0.03,0.02,24452,
01_track_9,0.89,0.83,0.05,114900,0.04,0.01,0.01,7844,5.96,5.65,0.28,571936,0.06,0.04,0.01,27840,
01_track_90,0.73,0.66,0.05,96520,0.02,0.01,0.00,7516,22.63,22.24,0.32,773908,0.05,0.04,0.01,24476,
01_track_91,,,,,0.04,0.01,0.00,7288,10.20,9.83,0.34,723388,0.05,0.03,0.01,24456,
01_track_92,,,,,0.04,0.01,0.01,7452,21.11,20.70,0.35,721976,0.05,0.04,0.01,24468,
01_track_93,,,,,0.04,0.01,0.01,7284,26.63,26.17,0.39,753348,0.05,0.03,0.01,24460,
01_track_94,2.44,2.35,0.07,223380,0.03,0.01,0.01,7288,1.94,1.79,0.13,208216,0.05,0.04,0.01,24468,
01_track_95,,,,,0.04,0.01,0.00,7812,4.27,4.09,0.15,317688,0.05,0.03,0.01,27212,
01_track_96,0.85,0.79,0.05,90512,0.05,0.01,0.01,8064,2.76,2.63,0.11,261608,0.06,0.04,0.01,27992,
01_track_97,0.87,0.81,0.04,95944,0.04,0.01,0.00,7648,2.01,1.91,0.09,216356,0.06,0.04,0.01,27620,
01_track_98,1.59,1.51,0.07,170600,0.04,0.01,0.00,7508,10.34,10.00,0.30,714044,0.05,0.04,0.00,24480,
01_track_99,0.74,0.68,0.05,93512,0.04,0.01,0.01,7520,29.07,28.51,0.47,762704,0.05,0.04,0.00,24480,
02_track_1,,,,,,,,,5.68,5.46,0.17,337212,0.09,0.06,0.02,33272,
02_track_2,,,,,,,,,,,,,1.82,1.57,0.24,272792,
02_track_3,,,,,,,,,,,,,15.92,13.90,1.97,1684552,
02_track_4,,,,,,,,,,,,,,,,,
02_track_5,,,,,,,,,3.89,3.73,0.14,271220,0.06,0.04,0.01,27888,
02_track_6,,,,,,,,,69.61,68.19,0.91,780440,0.29,0.23,0.05,66068,
02_track_7,,,,,,,,,,,,,,,,,
02_track_8,,,,,0.06,0.02,0.00,8444,2.19,2.09,0.09,214608,0.06,0.04,0.01,27412,
02_track_9,,,,,,,,,,,,,,,,,
03_track_1,,,,,0.06,0.03,0.00,8176,2.36,2.24,0.11,233748,0.05,0.03,0.01,24208,
03_track_10,1.06,0.99,0.06,136884,0.08,0.04,0.00,8176,1.95,1.84,0.09,207396,0.05,0.03,0.01,24212,
03_track_100,0.78,0.73,0.04,80380,0.04,0.02,0.00,7992,2.13,2.01,0.10,245688,0.06,0.03,0.02,27456,
03_track_101,1.63,1.56,0.06,219500,0.04,0.02,0.01,8032,2.52,2.39,0.12,251192,0.06,0.04,0.01,27484,
03_track_102,0.77,0.71,0.05,84600,0.04,0.02,0.01,8020,2.16,2.02,0.12,213224,0.06,0.04,0.01,27548,
